"q1","q2","q1_state","q2_state","q1_party","q2_party","same_state","same_party","group_cat"
"Al Green","Eddie Bernice Johnson","TX","TX","Democrat","Democrat",1,1,"same_state_same_party"
"Bobby Rush","Bill Foster","IL","IL","Democrat","Democrat",1,1,"same_state_same_party"
"Michael Waltz","Greg Steube","FL","FL","Republican","Republican",1,1,"same_state_same_party"
"Al Green","Colin Allred","TX","TX","Democrat","Democrat",1,1,"same_state_same_party"
"Steve Chabot","Steve Stivers","OH","OH","Republican","Republican",1,1,"same_state_same_party"
"TJ Cox","Judy Chu","CA","CA","Democrat","Democrat",1,1,"same_state_same_party"
"Frank Lucas","Tom Cole","OK","OK","Republican","Republican",1,1,"same_state_same_party"
"Matt Gaetz","Ross Spano","FL","FL","Republican","Republican",1,1,"same_state_same_party"
"Michael McCaul","Randy Weber","TX","TX","Republican","Republican",1,1,"same_state_same_party"
"Tony Cárdenas","Karen Bass","CA","CA","Democrat","Democrat",1,1,"same_state_same_party"
"TJ Cox","Rosa DeLauro","CA","CT","Democrat","Democrat",0,1,"dif_state_same_party"
"Paul Cook","David Kustoff","CA","TN","Republican","Republican",0,1,"dif_state_same_party"
"Bob Gibbs","Joe Wilson","OH","SC","Republican","Republican",0,1,"dif_state_same_party"
"Andy Barr","Greg Walden","KY","OR","Republican","Republican",0,1,"dif_state_same_party"
"Andy Levin","Thomas Suozzi","MI","NY","Democrat","Democrat",0,1,"dif_state_same_party"
"Ann Kirkpatrick","Harley Rouda","AZ","CA","Democrat","Democrat",0,1,"dif_state_same_party"
"Dan Kildee","Carolyn Maloney","MI","NY","Democrat","Democrat",0,1,"dif_state_same_party"
"Ed Perlmutter","Nydia Velázquez","CO","NY","Democrat","Democrat",0,1,"dif_state_same_party"
"Hakeem Jeffries","Al Green","NY","TX","Democrat","Democrat",0,1,"dif_state_same_party"
"Susan Wild","Filemon Vela Jr.","PA","TX","Democrat","Democrat",0,1,"dif_state_same_party"
"Sanford Bishop","Andy Levin","GA","MI","Democrat","Democrat",0,1,"dif_state_same_party"
"Ted Deutch","Steve Cohen","FL","TN","Democrat","Democrat",0,1,"dif_state_same_party"
"Donald Norcross","Marcy Kaptur","NJ","OH","Democrat","Democrat",0,1,"dif_state_same_party"
"Garret Graves","Richard Hudson","LA","NC","Republican","Republican",0,1,"dif_state_same_party"
"Hank Johnson","Ed Case","GA","HI","Democrat","Democrat",0,1,"dif_state_same_party"
"Jared Huffman","Madeleine Dean","CA","PA","Democrat","Democrat",0,1,"dif_state_same_party"
"John Shimkus","Ben Cline","IL","VA","Republican","Republican",0,1,"dif_state_same_party"
"Lois Frankel","Paul Tonko","FL","NY","Democrat","Democrat",0,1,"dif_state_same_party"
"Bill Pascrell","Susie Lee","NJ","NV","Democrat","Democrat",0,1,"dif_state_same_party"
"David Schweikert","Buddy Carter","AZ","GA","Republican","Republican",0,1,"dif_state_same_party"
"Debbie Dingell","Susie Lee","MI","NV","Democrat","Democrat",0,1,"dif_state_same_party"
"Bill Pascrell","Earl Blumenauer","NJ","OR","Democrat","Democrat",0,1,"dif_state_same_party"
"Ben Ray Luján","Brendan Boyle","NM","PA","Democrat","Democrat",0,1,"dif_state_same_party"
"Carolyn Maloney","Abigail Spanberger","NY","VA","Democrat","Democrat",0,1,"dif_state_same_party"
"Jan Schakowsky","Gerry Connolly","IL","VA","Democrat","Democrat",0,1,"dif_state_same_party"
"Jim Hagedorn","Bill Johnson","MN","OH","Republican","Republican",0,1,"dif_state_same_party"
"Cheri Bustos","Susan Wild","IL","PA","Democrat","Democrat",0,1,"dif_state_same_party"
"Steve Watkins","Peter T. King","KS","NY","Republican","Republican",0,1,"dif_state_same_party"
"Mo Brooks","Bryan Steil","AL","WI","Republican","Republican",0,1,"dif_state_same_party"
"Vicky Hartzler","Kevin Brady","MO","TX","Republican","Republican",0,1,"dif_state_same_party"
"Adrian Smith","Glenn Grothman","NE","WI","Republican","Republican",0,1,"dif_state_same_party"
"Matt Gaetz","Michael Guest","FL","MS","Republican","Republican",0,1,"dif_state_same_party"
"Josh Gottheimer","Antonio Delgado","NJ","NY","Democrat","Democrat",0,1,"dif_state_same_party"
"Jerry McNerney","Veronica Escobar","CA","TX","Democrat","Democrat",0,1,"dif_state_same_party"
"Yvette Clarke","Vicente Gonzalez","NY","TX","Democrat","Democrat",0,1,"dif_state_same_party"
"Ken Buck","David Kustoff","CO","TN","Republican","Republican",0,1,"dif_state_same_party"
"Debbie Wasserman Schultz","Earl Blumenauer","FL","OR","Democrat","Democrat",0,1,"dif_state_same_party"
"Danny K. Davis","Pete Visclosky","IL","IN","Democrat","Democrat",0,1,"dif_state_same_party"
"Jim Cooper","Abigail Spanberger","TN","VA","Democrat","Democrat",0,1,"dif_state_same_party"
"Dave Loebsack","Steve Cohen","IA","TN","Democrat","Democrat",0,1,"dif_state_same_party"
"Dan Kildee","Yvette Clarke","MI","NY","Democrat","Democrat",0,1,"dif_state_same_party"
"Rosa DeLauro","Earl Blumenauer","CT","OR","Democrat","Democrat",0,1,"dif_state_same_party"
"John B. Larson","Mikie Sherrill","CT","NJ","Democrat","Democrat",0,1,"dif_state_same_party"
"Albio Sires","Jim Clyburn","NJ","SC","Democrat","Democrat",0,1,"dif_state_same_party"
"Lucille Roybal-Allard","Deb Haaland","CA","NM","Democrat","Democrat",0,1,"dif_state_same_party"
"Al Lawson","Mark Pocan","FL","WI","Democrat","Democrat",0,1,"dif_state_same_party"
"Rick W. Allen","James Comer","GA","KY","Republican","Republican",0,1,"dif_state_same_party"
"Lucille Roybal-Allard","Brad Schneider","CA","IL","Democrat","Democrat",0,1,"dif_state_same_party"
"Tom O'Halleran","Susie Lee","AZ","NV","Democrat","Democrat",0,1,"dif_state_same_party"
"Abby Finkenauer","Eddie Bernice Johnson","IA","TX","Democrat","Democrat",0,1,"dif_state_same_party"
"Nancy Pelosi","Kevin McCarthy","CA","CA","Democrat","Republican",1,0,"same_state_dif_party"
"Elaine Luria","Ben Cline","VA","VA","Democrat","Republican",1,0,"same_state_dif_party"
"Matt Gaetz","Frederica Wilson","FL","FL","Republican","Democrat",1,0,"same_state_dif_party"
"Lee Zeldin","José E. Serrano","NY","NY","Republican","Democrat",1,0,"same_state_dif_party"
"Peter T. King","Thomas Suozzi","NY","NY","Republican","Democrat",1,0,"same_state_dif_party"
"Mark DeSaulnier","Ken Calvert","CA","CA","Democrat","Republican",1,0,"same_state_dif_party"
"Francis Rooney","Ted Deutch","FL","FL","Republican","Democrat",1,0,"same_state_dif_party"
"Dan Crenshaw","Al Green","TX","TX","Republican","Democrat",1,0,"same_state_dif_party"
"Sheila Jackson Lee","Will Hurd","TX","TX","Democrat","Republican",1,0,"same_state_dif_party"
"Buddy Carter","Sanford Bishop","GA","GA","Republican","Democrat",1,0,"same_state_dif_party"
"Tom McClintock","Ted Lieu","CA","CA","Republican","Democrat",1,0,"same_state_dif_party"
"Eliot Engel","Tom Reed","NY","NY","Democrat","Republican",1,0,"same_state_dif_party"
"Joe Wilson","Jim Clyburn","SC","SC","Republican","Democrat",1,0,"same_state_dif_party"
"Michael Cloud","Lloyd Doggett","TX","TX","Republican","Democrat",1,0,"same_state_dif_party"
"Doris Matsui","Devin Nunes","CA","CA","Democrat","Republican",1,0,"same_state_dif_party"
"Dan Lipinski","Mike Bost","IL","IL","Democrat","Republican",1,0,"same_state_dif_party"
"Scott DesJarlais","Steve Cohen","TN","TN","Republican","Democrat",1,0,"same_state_dif_party"
"Jack Bergman","Debbie Dingell","MI","MI","Republican","Democrat",1,0,"same_state_dif_party"
"Paul Cook","Gil Cisneros","CA","CA","Republican","Democrat",1,0,"same_state_dif_party"
"Devin Nunes","Gil Cisneros","CA","CA","Republican","Democrat",1,0,"same_state_dif_party"
"Bennie Thompson","Michael Guest","MS","MS","Democrat","Republican",1,0,"same_state_dif_party"
"Brian Fitzpatrick","Mary Gay Scanlon","PA","PA","Republican","Democrat",1,0,"same_state_dif_party"
"Donald McEachin","Denver Riggleman","VA","VA","Democrat","Republican",1,0,"same_state_dif_party"
"Francis Rooney","Debbie Mucarsel-Powell","FL","FL","Republican","Democrat",1,0,"same_state_dif_party"
"Robert Aderholt","Terri Sewell","AL","AL","Republican","Democrat",1,0,"same_state_dif_party"
"Paul Tonko","Elise Stefanik","NY","NY","Democrat","Republican",1,0,"same_state_dif_party"
"Dan Newhouse","Derek Kilmer","WA","WA","Republican","Democrat",1,0,"same_state_dif_party"
"Angie Craig","Pete Stauber","MN","MN","Democrat","Republican",1,0,"same_state_dif_party"
"Justin Amash","Elissa Slotkin","MI","MI","Independent","Democrat",1,0,"same_state_dif_party"
"Pete Olson","Colin Allred","TX","TX","Republican","Democrat",1,0,"same_state_dif_party"
"Jeff Van Drew","Frank Pallone","NJ","NJ","Republican","Democrat",1,0,"same_state_dif_party"
"Ron Wright","Lloyd Doggett","TX","TX","Republican","Democrat",1,0,"same_state_dif_party"
"Tom O'Halleran","Andy Biggs","AZ","AZ","Democrat","Republican",1,0,"same_state_dif_party"
"Bill Flores","Eddie Bernice Johnson","TX","TX","Republican","Democrat",1,0,"same_state_dif_party"
"Lance Gooden","Filemon Vela Jr.","TX","TX","Republican","Democrat",1,0,"same_state_dif_party"
"Mary Gay Scanlon","Lloyd Smucker","PA","PA","Democrat","Republican",1,0,"same_state_dif_party"
"Michael McCaul","Vicente Gonzalez","TX","TX","Republican","Democrat",1,0,"same_state_dif_party"
"Michael Waltz","Darren Soto","FL","FL","Republican","Democrat",1,0,"same_state_dif_party"
"Al Lawson","Brian Mast","FL","FL","Democrat","Republican",1,0,"same_state_dif_party"
"Raúl Grijalva","Andy Biggs","AZ","AZ","Democrat","Republican",1,0,"same_state_dif_party"
"Devin Nunes","Nanette Barragán","CA","CA","Republican","Democrat",1,0,"same_state_dif_party"
"Michael McCaul","Veronica Escobar","TX","TX","Republican","Democrat",1,0,"same_state_dif_party"
"Lucy McBath","Rick W. Allen","GA","GA","Democrat","Republican",1,0,"same_state_dif_party"
"Denver Riggleman","Abigail Spanberger","VA","VA","Republican","Democrat",1,0,"same_state_dif_party"
"Michael Waltz","Ted Deutch","FL","FL","Republican","Democrat",1,0,"same_state_dif_party"
"Greg Walden","Kurt Schrader","OR","OR","Republican","Democrat",1,0,"same_state_dif_party"
"Mark Pocan","Glenn Grothman","WI","WI","Democrat","Republican",1,0,"same_state_dif_party"
"Marcia Fudge","Troy Balderson","OH","OH","Democrat","Republican",1,0,"same_state_dif_party"
"Kathleen Rice","Elise Stefanik","NY","NY","Democrat","Republican",1,0,"same_state_dif_party"
"Mac Thornberry","Marc Veasey","TX","TX","Republican","Democrat",1,0,"same_state_dif_party"
"Steny Hoyer","Lance Gooden","MD","TX","Democrat","Republican",0,0,"dif_state_dif_party"
"Brad Sherman","Susan Brooks","CA","IN","Democrat","Republican",0,0,"dif_state_dif_party"
"Greg Pence","Lacy Clay","IN","MO","Republican","Democrat",0,0,"dif_state_dif_party"
"Bennie Thompson","Lance Gooden","MS","TX","Democrat","Republican",0,0,"dif_state_dif_party"
"Ross Spano","Cedric Richmond","FL","LA","Republican","Democrat",0,0,"dif_state_dif_party"
"Peter T. King","Peter DeFazio","NY","OR","Republican","Democrat",0,0,"dif_state_dif_party"
"Nancy Pelosi","Austin Scott","CA","GA","Democrat","Republican",0,0,"dif_state_dif_party"
"Jared Golden","Scott DesJarlais","ME","TN","Democrat","Republican",0,0,"dif_state_dif_party"
"Dwight Evans","Dan Newhouse","PA","WA","Democrat","Republican",0,0,"dif_state_dif_party"
"Mo Brooks","Dwight Evans","AL","PA","Republican","Democrat",0,0,"dif_state_dif_party"
"Alan Lowenthal","Joe Wilson","CA","SC","Democrat","Republican",0,0,"dif_state_dif_party"
"Betty McCollum","Chuck Fleischmann","MN","TN","Democrat","Republican",0,0,"dif_state_dif_party"
"Yvette Clarke","Mike Turner","NY","OH","Democrat","Republican",0,0,"dif_state_dif_party"
"Haley Stevens","David McKinley","MI","WV","Democrat","Republican",0,0,"dif_state_dif_party"
"Josh Harder","Neal Dunn","CA","FL","Democrat","Republican",0,0,"dif_state_dif_party"
"Sanford Bishop","Tom Rice","GA","SC","Democrat","Republican",0,0,"dif_state_dif_party"
"Nita Lowey","Bryan Steil","NY","WI","Democrat","Republican",0,0,"dif_state_dif_party"
"Collin Peterson","Mark Amodei","MN","NV","Democrat","Republican",0,0,"dif_state_dif_party"
"Steve Scalise","Anthony G. Brown","LA","MD","Republican","Democrat",0,0,"dif_state_dif_party"
"Jeff Fortenberry","Yvette Clarke","NE","NY","Republican","Democrat",0,0,"dif_state_dif_party"
"Jimmy Gomez","Dan Crenshaw","CA","TX","Democrat","Republican",0,0,"dif_state_dif_party"
"Jim Himes","Larry Bucshon","CT","IN","Democrat","Republican",0,0,"dif_state_dif_party"
"Peter T. King","Suzanne Bonamici","NY","OR","Republican","Democrat",0,0,"dif_state_dif_party"
"Terri Sewell","John Joyce","AL","PA","Democrat","Republican",0,0,"dif_state_dif_party"
"John Shimkus","John Sarbanes","IL","MD","Republican","Democrat",0,0,"dif_state_dif_party"
"Jack Bergman","Ben Ray Luján","MI","NM","Republican","Democrat",0,0,"dif_state_dif_party"
"Rick W. Allen","Emanuel Cleaver","GA","MO","Republican","Democrat",0,0,"dif_state_dif_party"
"Buddy Carter","Eliot Engel","GA","NY","Republican","Democrat",0,0,"dif_state_dif_party"
"Lucille Roybal-Allard","Fred Keller","CA","PA","Democrat","Republican",0,0,"dif_state_dif_party"
"French Hill","Jimmy Panetta","AR","CA","Republican","Democrat",0,0,"dif_state_dif_party"
"Doug LaMalfa","Eleanor Holmes Norton","CA","DC","Republican","Democrat",0,0,"dif_state_dif_party"
"Sharice Davids","Scott Perry","KS","PA","Democrat","Republican",0,0,"dif_state_dif_party"
"French Hill","Betty McCollum","AR","MN","Republican","Democrat",0,0,"dif_state_dif_party"
"Barbara Lee","Adrian Smith","CA","NE","Democrat","Republican",0,0,"dif_state_dif_party"
"Michael Waltz","Mary Gay Scanlon","FL","PA","Republican","Democrat",0,0,"dif_state_dif_party"
"Karen Bass","Rob Woodall","CA","GA","Democrat","Republican",0,0,"dif_state_dif_party"
"Trent Kelly","Conor Lamb","MS","PA","Republican","Democrat",0,0,"dif_state_dif_party"
"Tim Ryan","Dan Crenshaw","OH","TX","Democrat","Republican",0,0,"dif_state_dif_party"
"Ken Buck","Ann McLane Kuster","CO","NH","Republican","Democrat",0,0,"dif_state_dif_party"
"Phil Roe","Peter Welch","TN","VT","Republican","Democrat",0,0,"dif_state_dif_party"
"Zoe Lofgren","Steve Watkins","CA","KS","Democrat","Republican",0,0,"dif_state_dif_party"
"Paul Cook","Marc Veasey","CA","TX","Republican","Democrat",0,0,"dif_state_dif_party"
"Dan Bishop","Marcia Fudge","NC","OH","Republican","Democrat",0,0,"dif_state_dif_party"
"Barry Loudermilk","Jennifer Wexton","GA","VA","Republican","Democrat",0,0,"dif_state_dif_party"
"George Holding","David Cicilline","NC","RI","Republican","Democrat",0,0,"dif_state_dif_party"
"Brad Schneider","Pete Stauber","IL","MN","Democrat","Republican",0,0,"dif_state_dif_party"
"Roger Marshall","Dutch Ruppersberger","KS","MD","Republican","Democrat",0,0,"dif_state_dif_party"
"Tony Cárdenas","Tom Reed","CA","NY","Democrat","Republican",0,0,"dif_state_dif_party"
"Jody Hice","Bill Pascrell","GA","NJ","Republican","Democrat",0,0,"dif_state_dif_party"
"Abby Finkenauer","Rob Wittman","IA","VA","Democrat","Republican",0,0,"dif_state_dif_party"
